Item Name,Price
"APPLE iPhone 14 Pro (Space Black, 1 TB)",169999
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",95699
"APPLE iPhone 12 Pro (Silver, 512 GB)",106699
"APPLE iPhone 11 Pro (Midnight Green, 512 GB)",118199
"APPLE iPhone 14 Pro (Gold, 1 TB)",169999
"APPLE iPhone 8 (Space Grey, 256 GB)",77000
"APPLE iPhone 14 Pro (Silver, 512 GB)",149999
"APPLE iPhone 14 Plus (Purple, 256 GB)",87999
"APPLE iPhone 14 (Starlight, 512 GB)",101999
"APPLE iPhone 13 mini (Green, 512 GB)",89999
"APPLE iPhone 6 (Silver, 16 GB)",51999
"APPLE iPhone 13 Pro Max (Graphite, 256 GB)",139900
"APPLE iPhone 13 Pro (Gold, 1 TB)",144999
"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)",139900
"APPLE iPhone 13 Pro Max (Graphite, 1 TB)",155999
"APPLE iPhone 8 (Gold, 256 GB)",77000
"APPLE iPhone 13 mini (Pink, 512 GB)",89999
"APPLE iPhone 6s Plus (Gold, 32 GB)",33299
"APPLE iPhone 12 mini (Black, 256 GB)",56999
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",95699
"APPLE iPhone 6s (Silver, 32 GB)",25399
"APPLE iPhone 13 Pro Max (Silver, 256 GB)",139900
"APPLE iPhone 12 mini (Black, 64 GB)",50999
"APPLE iPhone 6 (Space Grey, 16 GB)",51999
"APPLE iPhone 6 (Gold, 32 GB)",30780
"APPLE iPhone 13 Pro Max (Silver, 512 GB)",134999
"APPLE iPhone 13 Pro (Silver, 1 TB)",144999
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone 11 Pro (Silver, 256 GB)",100699
"APPLE iPhone SE 3rd Gen (Product (Red), 128 GB)",37999
"APPLE iPhone 13 Pro Max (Gold, 1 TB)",155999
"APPLE iPhone SE (Black, 128 GB)",32990
"APPLE iPhone 5s (Space Grey, 16 GB)",25000
"APPLE iPhone 13 Pro Max (Silver, 128 GB)",129900
"APPLE iPhone 8 (Silver, 256 GB)",77000
"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)",144999
"APPLE iPhone 7 (Black, 32 GB)",25099
"APPLE iPhone XS Max (Space Grey, 256 GB)",124899
"APPLE iPhone XS (Space Grey, 512 GB)",134899
"APPLE iPhone 12 Pro (Gold, 128 GB)",78899
"APPLE iPhone 5s (Silver, 16 GB)",25000
"APPLE iPhone SE 3rd Gen (Starlight, 256 GB)",46599
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",84900
"APPLE iPhone 8 (Gold, 64 GB)",39149
"APPLE iPhone 8 Plus (Silver, 64 GB)",49900
"APPLE iPhone 8 Plus (Silver, 256 GB)",84900
"APPLE iPhone 8 (Silver, 64 GB)",39149
"APPLE iPhone 14 Pro (Deep Purple, 1 TB)",169999
"APPLE iPhone 13 Pro (Graphite, 256 GB)",129900
"APPLE iPhone XS Max (Gold, 256 GB)",124899
"APPLE iPhone 6s (Space Grey, 32 GB)",25399
"APPLE iPhone XS (Gold, 512 GB)",134899
"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)",155999
"APPLE iPhone 7 (Gold, 32 GB)",25099
"APPLE iPhone 13 mini (Midnight, 128 GB)",61999
"APPLE iPhone 12 (White, 128 GB)",56999
"APPLE iPhone 13 mini (Blue, 128 GB)",61999
"APPLE iPhone 14 Pro Max (Deep Purple, 256 GB)",137999
"APPLE iPhone 13 mini (Starlight, 128 GB)",61999
"APPLE iPhone 14 Pro Max (Silver, 256 GB)",137999
"APPLE iPhone 13 Pro (Alpine Green, 512 GB)",125999
"APPLE iPhone 6s (Rose Gold, 16 GB)",31999
"APPLE iPhone 11 Pro Max (Space Grey, 256 GB)",131900
"APPLE iPhone 14 Pro Max (Deep Purple, 512 GB)",157999
"APPLE iPhone XS Max (Gold, 512 GB)",144900
Cellecor E3,1061
"APPLE iPhone 6 Plus (Space Grey, 16 GB)",39999
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone 7 (Rose Gold, 128 GB)",34900
"APPLE iPhone 13 Pro (Graphite, 512 GB)",125999
"APPLE iPhone 12 mini (Red, 256 GB)",56999
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",40990
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone 11 (Green, 64 GB)",41999
"APPLE iPhone 13 mini (Green, 256 GB)",71999
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",40990
"APPLE iPhone 12 (Black, 128 GB)",56999
"APPLE iPhone 14 (Yellow, 256 GB)",81999
"APPLE iPhone 12 (Purple, 256 GB)",66999
"APPLE IPhone 4 (Black, 8 GB)",22900
"APPLE iPhone 14 Pro (Space Black, 256 GB)",129999
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",32990
"APPLE iPhone 12 mini (Green, 256 GB)",56999
"APPLE iPhone 12 mini (Green, 64 GB)",50999
"APPLE iPhone SE (White, 256 GB)",40990
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone 13 Pro (Gold, 256 GB)",129900
"APPLE iPhone 13 mini ((PRODUCT)RED, 256 GB)",71999
"Apple iPhone XR ((PRODUCT)RED, 256 GB) (Includes EarPods, Power Adapter)",91900
Cellecor E3,1061
"APPLE iPhone 6s (Gold, 32 GB)",25399
"APPLE iPhone 12 mini (White, 128 GB)",55999
"APPLE iPhone 14 Plus (Yellow, 512 GB)",107999
"Apple iPhone XR (Coral, 256 GB) (Includes EarPods, Power Adapter)",91900
"APPLE iPhone 11 Pro (Space Grey, 256 GB)",100699
"Apple iPhone XR (Black, 256 GB) (Includes EarPods, Power Adapter)",91900
"APPLE iPhone 11 Pro (Gold, 64 GB)",87099
"APPLE iPhone 6s (Rose Gold, 32 GB)",25399
"APPLE iPhone 7 Plus (Jet Black, 32 GB)",37249
"APPLE iPhone SE (Black, 256 GB)",40990
"APPLE iPhone 14 Plus (Midnight, 256 GB)",87999
"Apple iPhone XR (White, 256 GB) (Includes EarPods, Power Adapter)",91900
"APPLE iPhone 12 Pro (Gold, 256 GB)",88199
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",91900
"APPLE iPhone 12 mini (White, 256 GB)",56999
"APPLE iPhone 6s Plus (Rose Gold, 64 GB)",59999
"APPLE iPhone SE (White, 64 GB)",28990
"APPLE iPhone 6s (Gold, 128 GB)",55999
"Apple iPhone XR (Blue, 256 GB) (Includes EarPods, Power Adapter)",91900
"APPLE iPhone 12 mini (Blue, 128 GB)",55999
"APPLE iPhone 6s (Rose Gold, 128 GB)",55999
"APPLE iPhone 6s Plus (Gold, 16 GB)",49999
"APPLE iPhone 6s (Gold, 64 GB)",49999
Cellecor E3,1061
"APPLE iPhone 7 (Silver, 32 GB)",25099
"APPLE iPhone 6s (Gold, 16 GB)",41999
"APPLE iPhone 6s Plus (Silver, 64 GB)",59999
"APPLE iPhone 6s (Space Grey, 64 GB)",49999
"APPLE iPhone 7 (Rose Gold, 32 GB)",25099
"APPLE iPhone 7 (Jet Black, 32 GB)",25099
"APPLE iPhone 11 Pro (Gold, 512 GB)",117949
"APPLE iPhone 6s Plus (Rose Gold, 16 GB)",49999
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone 6s (Silver, 16 GB)",41999
"APPLE iPhone 11 Pro (Silver, 512 GB)",117949
"APPLE iPhone 6s Plus (Space Grey, 32 GB)",33299
"APPLE iPhone 6 (Gold, 128 GB)",49999
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",41699
"APPLE iPhone 12 Pro (Silver, 256 GB)",88199
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",32990
"APPLE iPhone 6s Plus (Space Grey, 64 GB)",59999
"APPLE iPhone 6s (Silver, 128 GB)",55999
"APPLE iPhone 6s (Silver, 64 GB)",49999
"APPLE iPhone 6s Plus (Silver, 16 GB)",49999
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",36999
"APPLE iPhone XR (Coral, 128 GB)",52900
"APPLE iPhone 6s Plus (Gold, 64 GB)",59999
Cellecor E3,1061
"APPLE iPhone XR (Black, 64 GB)",36999
"APPLE iPhone XS Max (Space Grey, 512 GB)",144900
"APPLE iPhone 7 (Black, 128 GB)",34900
"APPLE iPhone XS Max (Silver, 64 GB)",109899
"APPLE iPhone 12 mini (Purple, 64 GB)",50999
"APPLE iPhone 14 Pro (Gold, 256 GB)",129999
"APPLE iPhone 13 mini (Pink, 256 GB)",71999
"APPLE iPhone 7 Plus (Gold, 256 GB)",85400
"APPLE iPhone SE 3rd Gen (Product (Red), 64 GB)",32699
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)",33299
"APPLE iPhone 12 mini (Purple, 128 GB)",55999
"APPLE iPhone 6 (Space Grey, 64 GB)",44999
"APPLE iPhone 12 mini (Blue, 256 GB)",56999
